Anoste|protein1168	GO:0003713,GO:0000124
Anoara|LOC120898507	GO:0030424,GO:0030425,GO:0007635,GO:0043025,GO:0008049
Anoste|protein10758	GO:0004802,GO:0030976
Anoalb|LOC118463865	GO:1903189,GO:0006979,GO:0046295,GO:0005737,GO:1901215,GO:0005739,GO:0005634
Anogam|LOC1281585	GO:0051117,GO:0033179,GO:0005886,GO:1902600,GO:0007035,GO:0046961,GO:0016471
Anoalb|LOC118459543	GO:0035336,GO:0030182,GO:0090433,GO:0004467,GO:0005783,GO:0016020,GO:0005811,GO:0005886,GO:0001676
Anogam|LOC1270387	GO:0045087,GO:0005739,GO:0007178
Anoalb|LOC118460402	GO:0045944,GO:0005634,GO:0006357,GO:0045165,GO:0000122,GO:0000978,GO:0003700,GO:0000981
Anoalb|LOC118460613	GO:0038023,GO:0016020
Anoalb|LOC118464352	GO:0005737,GO:0006423,GO:0004817,GO:0005524
Anoalb|LOC118467595	GO:0000902,GO:0031175,GO:0005938,GO:0030427
Anoste|protein8862	GO:0048471,GO:0007010,GO:0019894,GO:0006997,GO:0007097,GO:0005635
Anoste|protein17142	GO:0000977,GO:0000981,GO:0006357,GO:0005634
Anofun|LOC125765982	GO:0006261,GO:0000811,GO:0000727
Anogam|LOC5668240	GO:0005634,GO:0006408
Anoalb|LOC118459694	GO:0016020,GO:1902600,GO:0015252
Anoara|LOC120895748	GO:0005615,GO:0062023
Anoste|protein5593	GO:0007623
Anoalb|LOC118466705	GO:0005886,GO:0006887,GO:0042043,GO:0070382
Anogam|LOC1271247	GO:0005634,GO:0006357,GO:0000981,GO:0000977
Anoste|protein6354	GO:0005737,GO:0005871,GO:0007018,GO:0019894
Anoste|protein14281	GO:0005267,GO:0016020,GO:0015271,GO:0030322,GO:0071805,GO:0005886,GO:0022841
Anogam|LOC11175717	GO:0005886,GO:0071880,GO:0043410,GO:0004930
Anofun|LOC125764166	GO:0005634,GO:0043486
Anoara|LOC120905003	GO:0008171,GO:0040031,GO:0017069,GO:0008173
Anofun|LOC125770186	GO:0005384,GO:0070588,GO:0046873,GO:0015085,GO:0032468,GO:0071421,GO:0032472,GO:0005794
Anogam|LOC1279437	GO:0008250,GO:0018279
Anoalb|LOC118457953	GO:0000703,GO:0005634,GO:0003906,GO:0006285,GO:0006289
Anoste|protein7035	GO:0000030,GO:0005789,GO:0035269
Anoalb|LOC118457337	GO:0005622,GO:0003723,GO:0004386
Anoalb|LOC118464533	GO:0016491,GO:0046592
Anoalb|LOC118462516	GO:0016020,GO:0043231,GO:0006869,GO:0140359,GO:0005319,GO:0055085,GO:0042626
Anogam|LOC1280667	GO:0019208,GO:0017020,GO:0004857,GO:0005737
Anofun|LOC125771328	GO:0005789,GO:0019367,GO:0042761,GO:0009922,GO:0034626,GO:0034625,GO:0016020,GO:0030148
Anoalb|LOC118456991	GO:0033179,GO:1902600,GO:0046961
Anoalb|LOC118463061	GO:0007165,GO:0016020,GO:0004143
Anogam|LOC1280292	GO:0007165
Anofun|LOC125770614	GO:0016256,GO:0046835,GO:0005794,GO:0003976
Anoara|LOC120904110	GO:0016020,GO:0043235,GO:0005886,GO:0006468,GO:0070724,GO:0004674,GO:0004675,GO:0071363,GO:0005524,GO:0007178
Anoste|protein1695	GO:0000987,GO:0003700,GO:0006355,GO:0005634
Anogam|LOC1280084	GO:0022857,GO:0005739,GO:0005289,GO:1990575,GO:0006810
Anoste|protein7082	GO:0061630
Anoara|LOC120906000	GO:0005739
Anoste|protein1242	GO:0006355
Anogam|LOC1277722	GO:0016409,GO:0018230,GO:0005794,GO:0006612,GO:0019706,GO:0005783
Anogam|LOC1273216	GO:0003735,GO:0005840,GO:0006412
Anoalb|LOC118469014	GO:0031929,GO:0043666,GO:0005829
Anoara|LOC120900155	GO:0017147,GO:0060070,GO:0005886,GO:0035567,GO:0042813
Anoalb|LOC118458087	GO:0015250,GO:0006833,GO:0005886
Anoalb|LOC118462536	GO:0010468,GO:0034972,GO:0005634,GO:0000977,GO:0006357
Anoalb|LOC118462459	GO:0016592,GO:0045944,GO:0003713,GO:0008134
Anogam|LOC1276534	GO:0004351,GO:0016831,GO:0009449,GO:0005737
Anogam|LOC1279553	GO:0005737,GO:0016020,GO:0005044
Anogam|LOC1273054	GO:0006744
Anoalb|LOC118457625	GO:0008010,GO:0062129
Anogam|LOC1281171	GO:0000981,GO:0006355,GO:0000978
Anoalb|LOC118462553	GO:0016020
Anogam|LOC1274647	GO:0004037,GO:0000256
Anoara|LOC120895935	GO:0006506,GO:0005789,GO:0051377
Anoste|protein2678	GO:0005743,GO:0033617,GO:0032981
Anoalb|LOC118468378	GO:0007420,GO:0030154,GO:0030182,GO:0045944,GO:0000122,GO:0000978,GO:0001228,GO:0005634
Anoste|protein13453	GO:0017177,GO:0006491
Anofun|LOC125774921	GO:0005615,GO:0031012
Anoalb|LOC118456209	GO:0032958,GO:0016301,GO:0005634,GO:0000828,GO:0005737,GO:0046854
Anogam|LOC1275487	GO:0005737,GO:0019948,GO:0016925,GO:0031510,GO:0032446
Anoste|protein11356	GO:1902936,GO:0016020
Anoalb|LOC118468961	GO:0008045
Anoalb|LOC118468460	GO:0035267,GO:0006357
Anogam|LOC11175720	GO:0004601
Anoste|protein8876	GO:1902936,GO:0016020
Anoalb|LOC118457366	GO:0005634,GO:0030182,GO:0000981,GO:0000977,GO:0006357
Anoalb|LOC118456439	GO:0006260,GO:0005634,GO:0000727,GO:0000811
Anoalb|LOC118465873	GO:0043516,GO:0034771,GO:0140110,GO:0006357,GO:0005700,GO:0042799,GO:0005634
Anogam|LOC1280220	GO:0015031,GO:0005737
Anofun|LOC125769551	GO:0005634,GO:0031011,GO:0006338
Anoara|LOC120896998	GO:0036159,GO:0003351,GO:0070286,GO:0036157,GO:0007368
Anoste|protein16602	GO:0005783,GO:0000774
Anoste|protein6553	GO:0031012,GO:0005615
Anogam|LOC1271672	GO:0005096,GO:0090630
Anogam|LOC1276808	GO:0004386,GO:0003723,GO:0005622,GO:0045943,GO:0003725,GO:0005730
Anogam|LOC1269729	GO:0043231,GO:0015108,GO:0005765
Anogam|LOC1274136	GO:0032589,GO:0050808
Anogam|LOC1279247	GO:0008045
Anoste|protein17132	GO:0042543
Anogam|LOC1269292	GO:0004722,GO:0006470
Anoalb|LOC118458215	GO:0005576,GO:0005102,GO:0009986,GO:0048856
Anogam|LOC1271536	GO:0017080,GO:0005886,GO:0002028
Anogam|LOC1273871	GO:0045039,GO:0008320,GO:0030943,GO:0042721
Anoalb|LOC118458004	GO:0004819,GO:0006425,GO:0005829,GO:0017101
Anoara|LOC120899901	GO:0060386,GO:0043161,GO:0045202,GO:0019005
Anoste|protein156	GO:0006886,GO:0006887,GO:0000149,GO:0005484,GO:0012505,GO:0031201,GO:0006906,GO:0048278,GO:0005886
Anoalb|LOC118456674	GO:0004725
Anoste|protein10355	GO:1990130,GO:0034198,GO:0032007,GO:1904262,GO:0038202,GO:0010508
Anoalb|LOC118464820	GO:0008010,GO:0062129
Anoste|protein12472	GO:0005654,GO:0005730,GO:0030690,GO:0030691,GO:0042273,GO:0003714,GO:0000122,GO:0042393
Anoara|LOC120895066	GO:0009408,GO:0005737,GO:0051082,GO:0042026,GO:0005634
Anoalb|LOC118456942	GO:0000981,GO:0006357,GO:0000977,GO:0005634
Anoalb|LOC118461184	GO:0004386,GO:0071013,GO:0003723,GO:0005622
Anoalb|LOC118464521	GO:0000981,GO:0006357,GO:0000978
Anoalb|LOC118460734	GO:0006751,GO:0061928,GO:0005737
Anoste|protein10812	GO:0003951,GO:0006741
Anogam|LOC1282068	GO:0030148,GO:0005789,GO:0016020,GO:0034626,GO:0019367,GO:0042761,GO:0009922,GO:0034625
Anogam|LOC1278003	GO:0005730,GO:2000234,GO:0045943,GO:0042254,GO:0003723,GO:0032040
Anoste|protein36	GO:0000981,GO:0000977,GO:0006357
Anoste|protein15229	GO:0001006,GO:0000126,GO:0000995,GO:0070897,GO:0005634,GO:0097550,GO:0006383,GO:0006352
Anogam|LOC1281094	GO:0030473,GO:0051015,GO:0005521,GO:0031965
Anogam|LOC1281447	GO:0005819,GO:0000132,GO:0061172
Anoste|protein13420	GO:0005884,GO:0016477,GO:0005886,GO:0030864,GO:0051015,GO:0030427,GO:0030833
Anoste|protein9144	GO:0005783,GO:0051082,GO:0051787,GO:0051604
Anoste|protein13613	GO:0017183,GO:0004164
Anoalb|LOC118468325	GO:0006812,GO:0051453,GO:0071805,GO:0015386,GO:0015385,GO:1902600,GO:0016020
Anogam|LOC1281194	GO:0005737,GO:0003729,GO:0006417
Anoste|protein11822	GO:0000226,GO:0005819,GO:0035303,GO:0005813,GO:0030865,GO:0043029,GO:0045579,GO:0001782
Anoste|protein18498	GO:0006810,GO:1990542,GO:0005739
Anoara|LOC120896256	GO:0000978,GO:0006357,GO:0000981
Anofun|LOC125760966	GO:0000978,GO:0001228,GO:0006357,GO:0005634
Anoste|protein14582	GO:1905515,GO:0035869
Anofun|LOC125772367	GO:0062129,GO:0008010
Anogam|LOC1274867	GO:0006457,GO:0051082,GO:0005783,GO:0036503,GO:0005509,GO:0005789
Anoara|LOC120905612	GO:0005313,GO:0022857,GO:0015813,GO:0015183,GO:0043490,GO:0015810,GO:0006810
Anoste|protein10581	GO:0031167,GO:0032040,GO:0015030,GO:0005730,GO:0008649,GO:1990259,GO:0000494,GO:0031428,GO:0003723
Anogam|LOC5667276	GO:0005615,GO:0031012
Anoste|protein8711	GO:0022857,GO:0006820,GO:0016020
Anoste|protein7866	GO:0043066,GO:0005634,GO:0003723
Anoalb|LOC118457714	GO:0061723,GO:0061709,GO:0061908,GO:0032266,GO:0006914,GO:0043495,GO:0034727,GO:0000422,GO:0000407,GO:0030242,GO:0000045
Anoara|LOC120905118	GO:0016020,GO:0006892,GO:0005794
Anogam|LOC1279014	GO:0005856,GO:0008017,GO:0005814,GO:0036064,GO:0005879,GO:0036126
Anogam|LOC1274945	GO:0015749,GO:0015149,GO:0016020
Anoalb|LOC118458092	GO:0006508,GO:0008241,GO:0008237,GO:0005886,GO:0016020
Anoara|LOC120895000	GO:0016791,GO:0005737
Anofun|LOC125768454	GO:0016409,GO:0018345
Anogam|LOC1277360	GO:0043484,GO:0006468,GO:0005634,GO:0004674
Anogam|LOC1278457	GO:0005634,GO:0006364
Anoste|protein15895	GO:0004089,GO:0008270
Anogam|LOC5667069	GO:0008194
Anogam|LOC1280844	GO:0003743,GO:0001731
Anogam|LOC1281006	GO:0000977,GO:0003700,GO:0000981,GO:0042127,GO:0006355,GO:0005634,GO:0006357,GO:0048856
Anogam|LOC1271643	GO:0003876,GO:0006188,GO:0046033,GO:0005829,GO:0032264
Anoste|protein3195	GO:0006508,GO:0004252
Anoste|protein14379	GO:0005737,GO:0008143,GO:1900364,GO:0005634,GO:0043488
Anoste|protein751	GO:1903744,GO:0099078,GO:0072384,GO:0098574,GO:0030672,GO:0032418
Anoste|protein11393	GO:0018293,GO:0005739,GO:0034553,GO:0006121,GO:0006099
Anoste|protein14417	GO:0006406,GO:0000502,GO:0043248,GO:0008541,GO:0000724
Anoalb|LOC118458224	GO:1902936,GO:0016020
Anoara|LOC120897335	GO:0031146,GO:0019005
Anoalb|LOC118461606	GO:0016020
Anogam|LOC1273949	GO:0016020
Anofun|LOC125763899	GO:0033674,GO:0007169,GO:0007275,GO:0004714,GO:0043235,GO:0005886
Anoste|protein6510	GO:0004001,GO:0006144,GO:0006166,GO:0005829,GO:0005634
Anoalb|LOC118464969	GO:0016567,GO:0004842
Anoalb|LOC118466808	GO:0005658,GO:0006270,GO:0006269
Anoalb|LOC118467898	GO:0019901,GO:0070373,GO:0004726,GO:0005737,GO:0005634,GO:0046426,GO:0035335
Anoste|protein8299	GO:0008061,GO:0005576,GO:0006032,GO:0004568
Anoste|protein16339	GO:0005681,GO:0000390
Anoste|protein16641	GO:0005739
Anoste|protein18671	GO:0006406,GO:0000184,GO:0003729,GO:0000339,GO:0005846,GO:0005634,GO:0005845
Anoalb|LOC118456664	GO:0045944,GO:0006357,GO:0000978,GO:0005634,GO:0000122,GO:0003700,GO:0000981,GO:0045165
Anogam|LOC1275602	GO:0005783,GO:1904382,GO:0004559,GO:0004571,GO:1904380
Anogam|LOC3291783	GO:0097176,GO:0004301
Anogam|LOC1280620	GO:0004108,GO:0005975,GO:0005759,GO:0046912,GO:0006099
Anoalb|LOC118460913	GO:0010181,GO:0016491,GO:0050660,GO:0005829
Anoste|protein17450	GO:0046523,GO:0019509
Anoalb|LOC118459399	GO:0006355
Anoste|protein12776	GO:0019005,GO:0031146
Anoste|protein15496	GO:0004222
Anoalb|LOC118461212	GO:0005634,GO:0000978,GO:0006357,GO:0009952,GO:0000981
Anoalb|LOC118467351	GO:0016020
Anoste|protein9135	GO:0003924
Anoste|protein17161	GO:0008903,GO:0046487
Anoste|protein14025	GO:0071818,GO:0006620,GO:0051087,GO:0071816
Anoste|protein2556	GO:0005509
Anoalb|LOC118458173	GO:0005747,GO:0005739
Anoalb|LOC118463979	GO:0004222
Anoalb|LOC118466892	GO:0061630,GO:0051092,GO:0005634,GO:0016567
Anogam|LOC3291349	GO:0004520,GO:0000712,GO:0005737,GO:0000724,GO:0004519,GO:0005654
Anofun|LOC125762314	GO:0019900,GO:0060090,GO:0035330,GO:0046621,GO:0005737,GO:0016477,GO:0006355
Anoste|protein9235	GO:0032790,GO:0005737,GO:0070481,GO:0070651,GO:0071025,GO:0070966
Anoalb|LOC118458156	GO:0032589,GO:0050808
Anoalb|LOC118464367	GO:0007168,GO:0001653,GO:0006182,GO:0004383,GO:0005886,GO:0004016
Anoste|protein16623	GO:0030145,GO:0008233,GO:0006508,GO:0070006,GO:0005737,GO:0019538
Anoalb|LOC118456748	GO:0005634,GO:0000381,GO:0048024,GO:0003729
Anoste|protein7636	GO:0000978,GO:0000981,GO:0006357
Anofun|LOC125761949	GO:0016831,GO:0004058,GO:0042427,GO:0006520,GO:0006584,GO:0005737
Anofun|LOC125771957	GO:0008422,GO:0004553,GO:0005975
Anogam|LOC1277131	GO:0033617,GO:0005739
Anoalb|LOC118457347	GO:0000350
Anoste|protein10427	GO:1990023,GO:0000226,GO:0051256,GO:0008017,GO:0005737,GO:0005819
Anoalb|LOC118460608	GO:0031012,GO:0005615
Anoste|protein6396	GO:0043005
Anoalb|LOC118461833	GO:0003735,GO:0005840,GO:0005762,GO:0006412
Anoalb|LOC118467048	GO:0045893,GO:0003677,GO:0071013,GO:0003725
Anogam|LOC1281784	GO:0006887,GO:0019905,GO:0005886,GO:0016082,GO:0006906,GO:0031629,GO:0031201,GO:0005484
Anoalb|LOC118461460	GO:0000974,GO:0036002,GO:0003723,GO:0071007,GO:0071006,GO:0017070
Anogam|LOC4577712	GO:0019829,GO:0043231,GO:0051480,GO:0005388,GO:0006874,GO:0005886
Anoste|protein13605	GO:0005789,GO:0030968,GO:0055074
Anoalb|LOC118459619	GO:0042073,GO:0030992,GO:0008017,GO:0060271,GO:0036064,GO:0005930,GO:0070507
Anoalb|LOC118456269	GO:0000978,GO:0005634,GO:0006357,GO:0004879
Anoste|protein15105	GO:0008650,GO:0005739,GO:0008173,GO:0001510
Anofun|LOC125765806	GO:0005634,GO:0006357
Anoalb|LOC118464847	GO:0017111
Anoalb|LOC118463099	GO:0017128,GO:0005886,GO:0017121
Anoara|LOC120897766	GO:0045893,GO:0003682,GO:0070577,GO:0008023
Anoalb|LOC118456693	GO:0043065,GO:0035556,GO:0004674,GO:0005634
Anofun|LOC125769104	GO:0015179,GO:0003333,GO:0005774,GO:0016020
Anogam|LOC1269245	GO:0006556,GO:0005524,GO:0004478
Anoalb|LOC118460942	GO:0005737,GO:0005096
Anoste|protein10721	GO:0000981,GO:0000978,GO:0006355
Anoalb|LOC118457203	GO:0008083
Anoste|protein14957	GO:0005802,GO:0005801,GO:0043087,GO:0030008,GO:0048193,GO:0006888
Anoste|protein3184	GO:0019208,GO:0005737,GO:0004857
Anoste|protein4505	GO:0051205,GO:0032979,GO:0032977,GO:0005743,GO:0016020
Anoste|protein13071	GO:0003973,GO:0001561,GO:0005782
Anogam|LOC1273830	GO:0034472,GO:0032039
Anogam|LOC1269600	GO:0008381,GO:0005886
Anoalb|LOC118461891	GO:0097176,GO:0004301
Anoste|protein13256	GO:0001055,GO:0005665,GO:0006366,GO:0003899
Anoste|protein6841	GO:0016020,GO:0003333,GO:0015179,GO:0005774
Anoara|LOC120903986	GO:0016558,GO:0005778,GO:0007031,GO:0008270
Anofun|LOC125765502	GO:0006357,GO:0003712,GO:0016592
Anoalb|LOC118465820	GO:0005794,GO:0004653,GO:0006493
Anoalb|LOC118465473	GO:0000981,GO:0032502,GO:0000977,GO:0006357
Anoste|protein16093	GO:0015918,GO:0032934
Anoalb|LOC118459053	GO:0003723,GO:0005634
Anogam|LOC1280070	GO:0016051,GO:0016020,GO:0008146
Anoalb|LOC118456715	GO:0000145,GO:0006887,GO:0006893
Anoste|protein18564	GO:0000981,GO:0005634,GO:0006357
Anoara|LOC120904825	GO:0006470,GO:0004722
Anoalb|LOC118458909	GO:0003697,GO:0005524,GO:0005634,GO:0000727,GO:0006271,GO:0003677,GO:0017116,GO:1902975,GO:0042555
Anogam|LOC3292014	GO:0016314,GO:0005829,GO:0016311
Anogam|LOC1281773	GO:0005634,GO:0042276,GO:0035861,GO:0005657,GO:0009314,GO:0003887
Anoste|protein4364	GO:0008541,GO:0005737
Anogam|LOC4577141	GO:0030672,GO:0007269
Anoalb|LOC118466149	GO:0045727,GO:0005829,GO:0010494,GO:0003723
Anoste|protein12300	GO:0005840,GO:0003735,GO:0006412
Anoste|protein5601	GO:0006887,GO:0030041,GO:0071203
Anoste|protein1951	GO:0045944,GO:0003713,GO:0005634
Anogam|LOC1273665	GO:0006357,GO:0005634
Anoste|protein15060	GO:0006520,GO:0008483,GO:0006532,GO:0004069,GO:0005829
Anoste|protein1216	GO:2000650,GO:0006511,GO:0005737,GO:0019871,GO:0061630,GO:0048814,GO:0016567
Anoste|protein16674	GO:0005634,GO:0016973
Anoste|protein12945	GO:0050911,GO:0007608,GO:0005549,GO:0005886,GO:0016020,GO:0004984
Anogam|LOC3290322	GO:0050684,GO:0005739,GO:0007005,GO:0007275,GO:0003723
Anofun|LOC125769564	GO:1902936,GO:0016020
Anoalb|LOC118466960	GO:0005680,GO:0070979,GO:0007091
Anogam|LOC1280035	GO:0032981,GO:0005737
Anoalb|LOC118459548	GO:0101030,GO:0008479,GO:0005829
Anoste|protein1606	GO:0016579,GO:0005634,GO:0004843,GO:0005829
Anoste|protein15081	GO:0016020
Anogam|LOC1281697	GO:0005243,GO:0005886,GO:0007602,GO:0005921
Anoalb|LOC118468879	GO:0005634,GO:0071376,GO:0000978,GO:0005667,GO:0000981,GO:0035259,GO:0006357
Anoara|LOC120908744	GO:0042391,GO:0005886,GO:0071805,GO:0005249
Anogam|LOC1279856	GO:0016020,GO:0042626,GO:0055085,GO:0005886
Anoalb|LOC118467078	GO:0003723,GO:0009451,GO:0009982,GO:0001522,GO:0005634
Anogam|LOC1278631	GO:0004441,GO:0046855
Anofun|LOC125771898	GO:0000139,GO:0004402,GO:0017196,GO:0004596
Anoste|protein11202	GO:0101005,GO:0008233,GO:0016579,GO:0070646
Anogam|LOC1271240	GO:0043235,GO:0071363,GO:0004674,GO:0004675,GO:0016020,GO:0005886,GO:0006468,GO:0007178,GO:0005524
Anoalb|LOC118463280	GO:0006487,GO:0005789,GO:0004377,GO:0006490,GO:0016020
Anoalb|LOC118467059	GO:0051085,GO:0051087,GO:0005829,GO:0051082
Anoalb|LOC118459928	GO:0008134,GO:0005634,GO:0042994,GO:0005737
Anoalb|LOC118456882	GO:0120013,GO:0120009,GO:0016020,GO:0005829,GO:1902388,GO:0035627,GO:1902387,GO:0005737
Anoara|LOC120896853	GO:0106217,GO:0000049
Anoalb|LOC118461471	GO:0032589,GO:0050808
Anoara|LOC120901249	GO:0005750,GO:0006122
Anoalb|LOC118468933	GO:0016477,GO:0004843,GO:0016579,GO:0005634,GO:0005829
Anoara|LOC120894518	GO:0005886,GO:0005525,GO:0005246
Anofun|LOC125772346	GO:0000978,GO:0001228,GO:0005634,GO:0006357
Anoalb|LOC118467877	GO:0007189,GO:0004930
Anogam|LOC1275919	GO:0004930,GO:0004989,GO:0071880,GO:0005886,GO:0043410
Anoara|LOC120895053	GO:0005794,GO:0005783,GO:0007034,GO:0030001,GO:0048471,GO:0031398,GO:0050699,GO:0006511
Anoste|protein12757	GO:0015934,GO:0005762,GO:0003735,GO:0006412
Anoalb|LOC118460507	GO:0038202,GO:0005634,GO:0031931,GO:0031932,GO:0031929,GO:0004674,GO:0016242,GO:0005737
Anoalb|LOC118462703	GO:0005794,GO:0047464,GO:0015012
Anogam|LOC1280744	GO:0005886,GO:0016020,GO:0030322,GO:0071805,GO:0022841,GO:0005267,GO:0015271
Anogam|LOC1269789	GO:0006457,GO:0003756,GO:0005783,GO:0034976
Anoste|protein7038	GO:0005829,GO:0005737,GO:0019888,GO:0000159,GO:0005634,GO:0006470
Anogam|LOC1279511	GO:0016579,GO:0005829,GO:0004843,GO:0005634
Anoalb|LOC118464626	GO:0016020,GO:0055085
Anoste|protein12848	GO:0005737,GO:0006405,GO:0006611,GO:0042565,GO:0003723,GO:0005049,GO:0005634
Anoste|protein15917	GO:0016020,GO:0042246,GO:0007155
Anoste|protein15445	GO:0003714,GO:0000122,GO:0017136,GO:0005634,GO:0046969,GO:0070403
Anogam|LOC1271196	GO:0005085,GO:0005737
Anofun|LOC125764659	GO:0140291
Anoalb|LOC118465918	GO:0006357,GO:0000981,GO:0000978,GO:0003700,GO:0005634
Anogam|LOC1270726	GO:0005615,GO:0062023
Anoste|protein5691	GO:0005615,GO:0062023
Anogam|LOC4576724	GO:0003796
Anoara|LOC120894162	GO:0005634,GO:0005737
Anoalb|LOC118468589	GO:0002028,GO:0017080,GO:0005886
Anogam|LOC1278086	GO:0006506,GO:0000139,GO:0005789
Anoalb|LOC118466316	GO:0005886
Anogam|LOC1269472	GO:0005634,GO:0000978,GO:0006357,GO:0000977,GO:0000981
Anoalb|LOC118457603	GO:0000014,GO:0006309,GO:0004521,GO:0004519,GO:0005743,GO:0005634
Anoalb|LOC118458088	GO:0005886,GO:0006833,GO:0015250
Anoste|protein4540	GO:0005506,GO:0016491
Anoalb|LOC118460353	GO:0032504,GO:0005615
Anoste|protein10980	GO:0000245,GO:0005686,GO:0071004,GO:0071013
Anoalb|LOC118457273	GO:0090599,GO:0004553,GO:0006491
Anoste|protein14971	GO:0043495,GO:0061908,GO:0061709,GO:0006914,GO:0032266,GO:0034727,GO:0000407,GO:0030242,GO:0000045,GO:0061723,GO:0000422
Anoalb|LOC118461113	GO:0098742,GO:0007275,GO:0008013,GO:0098609,GO:0045296,GO:0016342,GO:0031175,GO:0016477
Anogam|LOC1276125	GO:0005634,GO:0000993,GO:0032044,GO:0006368,GO:0006355,GO:0140673,GO:0008270
Anogam|LOC1269411	GO:0000122,GO:1990841,GO:0035102
