Anoalb|LOC118465910	GO:0005096(InterPro)|GO:0016020(PANTHER)|GO:0043547(InterPro)
Anoalb|LOC118469066	-
Anoalb|LOC118464432	-
Anoste|protein11865	GO:0000462(PANTHER)|GO:0003723(PANTHER)|GO:0003735(PANTHER)|GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)|GO:0015935(PANTHER)|GO:0022627(PANTHER)
Anoste|protein3836	GO:0005525(InterPro)
Anoste|protein3649	GO:0005637(PANTHER)|GO:0006629(PANTHER)|GO:0071763(PANTHER)
Anoalb|LOC118456966	GO:0005739(PANTHER)|GO:0033615(PANTHER)|GO:0043461(InterPro)
Anoalb|LOC118458405	GO:0016020(PANTHER)
Anoste|protein15384	GO:0004867(InterPro)|GO:0005615(InterPro)|GO:0005615(PANTHER)
Anoara|LOC120904110	GO:0004674(PANTHER)|GO:0004675(InterPro)|GO:0005524(InterPro)|GO:0005886(PANTHER)|GO:0006468(PANTHER)|GO:0007178(InterPro)|GO:0016020(InterPro)|GO:0043235(PANTHER)|GO:0070724(PANTHER)|GO:0071363(PANTHER)
Anoalb|LOC118468701	GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)|GO:0043565(PANTHER)
Anoste|protein8803	GO:0016020(PANTHER)
Anoste|protein17182	-
Anoalb|LOC118460613	GO:0016020(InterPro)|GO:0038023(PANTHER)
Anoalb|LOC118457347	GO:0000350(InterPro)
Anofun|LOC125774300	-
Anoalb|LOC118466094	-
Anoalb|LOC118456782	GO:0005886(PANTHER)|GO:0007411(PANTHER)|GO:0046875(PANTHER)|GO:0048013(PANTHER)
Anoste|protein3000	GO:0005783(InterPro)|GO:0006511(InterPro)|GO:0061630(InterPro)
Anoara|LOC120908391	-
Anofun|LOC125770690	GO:0001664(PANTHER)|GO:0003924(PANTHER)|GO:0003924(InterPro)|GO:0005737(PANTHER)|GO:0005834(PANTHER)|GO:0007186(InterPro)|GO:0007188(PANTHER)|GO:0019001(InterPro)|GO:0031683(InterPro)|GO:0031683(PANTHER)
Anoara|LOC120898080	GO:0005096(PANTHER)|GO:0090630(PANTHER)
Anoalb|LOC118457961	GO:0005042(InterPro)|GO:0008045(PANTHER)|GO:0016020(InterPro)|GO:0038007(InterPro)
Anoalb|LOC118461148	GO:0000977(PANTHER)|GO:0000981(PANTHER)|GO:0006357(PANTHER)
Anogam|LOC133393396	-
Anoalb|LOC118460677	-
Anoalb|LOC118464847	GO:0017111(InterPro)
Anoste|protein2623	GO:0005121(PANTHER)|GO:0005576(PANTHER)|GO:0008083(PANTHER)|GO:0021556(PANTHER)|GO:0045087(PANTHER)
Anoalb|LOC118460210	-
Anoste|protein14573	GO:0000149(PANTHER)|GO:0005484(PANTHER)|GO:0005789(PANTHER)|GO:0005794(PANTHER)|GO:0006906(PANTHER)|GO:0012507(PANTHER)|GO:0031201(PANTHER)|GO:0031902(PANTHER)
Anogam|LOC1272189	GO:0009101(InterPro)|GO:0016757(InterPro)
Anogam|LOC5667928	GO:0007030(PANTHER)|GO:0012507(PANTHER)|GO:0070971(PANTHER)|GO:0070973(PANTHER)
Anoalb|LOC118464372	GO:0000422(PANTHER)|GO:0005737(InterPro)|GO:0005776(PANTHER)|GO:0006914(InterPro)|GO:0006995(PANTHER)|GO:0019776(PANTHER)|GO:0034045(PANTHER)|GO:0034274(PANTHER)|GO:0034727(PANTHER)|GO:0044233(PANTHER)|GO:0061739(PANTHER)|GO:0061908(PANTHER)|GO:0061912(PANTHER)
Anoara|LOC120895144	GO:0000981(PANTHER)|GO:0003700(PANTHER)|GO:0005634(PANTHER)|GO:0007423(PANTHER)|GO:0045944(PANTHER)|GO:0061564(PANTHER)|GO:0070888(PANTHER)
Anoste|protein9744	GO:0048488(PANTHER)
Anoalb|LOC118456189	GO:0005834(PANTHER)|GO:0005834(InterPro)|GO:0007186(PANTHER)|GO:0007200(InterPro)|GO:0031681(InterPro)|GO:0031681(PANTHER)|GO:0050909(InterPro)
Anoste|protein11509	GO:0005886(PANTHER)|GO:0016020(InterPro)
Anogam|LOC1280463	GO:0003724(PANTHER)|GO:0005829(PANTHER)
Anofun|LOC125773744	-
Anoste|protein17236	-
Anofun|LOC125763181	GO:0000151(PANTHER)|GO:0031624(PANTHER)|GO:0032182(PANTHER)|GO:0045116(PANTHER)|GO:0097602(PANTHER)
Anoara|LOC120905833	-
Anoste|protein12704	GO:0005739(PANTHER)|GO:0097250(PANTHER)
Anoalb|LOC118464958	GO:0005886(PANTHER)|GO:0007186(PANTHER)|GO:0008528(PANTHER)
Anogam|LOC5668066	-
Anoste|protein17602	-
Anofun|LOC125770831	-
Anoalb|LOC118465969	-
Anogam|LOC1279467	GO:0015347(PANTHER)|GO:0016020(InterPro)|GO:0043229(PANTHER)|GO:0043252(PANTHER)|GO:0055085(InterPro)
Anogam|LOC1279088	GO:0003924(PANTHER)|GO:0003924(InterPro)|GO:0005525(InterPro)|GO:0005525(PANTHER)|GO:0005739(PANTHER)
Anoste|protein7400	-
Anogam|LOC1270039	GO:0000978(PANTHER)|GO:0001228(PANTHER)|GO:0003700(InterPro)|GO:0005634(PANTHER)|GO:0006357(InterPro)|GO:0006357(PANTHER)
Anogam|LOC1269382	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0006357(PANTHER)
Anofun|LOC125763211	GO:0005737(PANTHER)|GO:0031514(PANTHER)|GO:0044782(PANTHER)
Anoara|LOC120896390	GO:0005737(PANTHER)|GO:0061630(PANTHER)
Anoste|protein16730	GO:0005634(PANTHER)|GO:0008540(PANTHER)|GO:0034515(PANTHER)|GO:0043161(PANTHER)
Anogam|LOC1275434	GO:0032880(PANTHER)|GO:0035869(PANTHER)|GO:0060170(PANTHER)|GO:0060271(PANTHER)
Anofun|LOC125767321	GO:0043565(InterPro)
Anoste|protein6588	GO:0005737(PANTHER)|GO:0005739(PANTHER)|GO:0016020(InterPro)
Anoste|protein428	-
Anoalb|LOC118458659	GO:0005737(PANTHER)|GO:0007268(PANTHER)|GO:0007409(PANTHER)|GO:0008088(PANTHER)|GO:0030424(PANTHER)|GO:0030425(PANTHER)|GO:0045202(PANTHER)|GO:0048489(PANTHER)
Anoste|protein6951	GO:0003712(InterPro)|GO:0003712(PANTHER)|GO:0006357(InterPro)|GO:0006357(PANTHER)|GO:0016592(PANTHER)|GO:0016592(InterPro)|GO:0070847(PANTHER)
Anofun|LOC125770999	GO:0005615(PANTHER)|GO:0062023(PANTHER)
Anoalb|LOC118456236	GO:0016020(PANTHER)
Anoalb|LOC118460560	GO:0090162(InterPro)
Anoalb|LOC118466401	-
Anoalb|LOC118464695	GO:0004725(PANTHER)|GO:0005829(PANTHER)|GO:0007165(PANTHER)|GO:0016311(PANTHER)
Anoalb|LOC118466674	-
Anogam|LOC1276723	GO:0000049(PANTHER)|GO:0005759(PANTHER)|GO:0042780(PANTHER)
Anoalb|LOC118464599	-
Anoalb|LOC118462498	GO:0043565(InterPro)
Anogam|LOC1280571	GO:0005669(PANTHER)|GO:0005669(InterPro)|GO:0006367(PANTHER)
Anofun|LOC125770254	-
Anoste|protein15464	-
Anoalb|LOC118467632	GO:0004553(InterPro)|GO:0005975(InterPro)|GO:0008422(PANTHER)
Anofun|LOC125762461	GO:0006412(InterPro)
Anogam|LOC1273977	-
Anoste|protein7856	GO:0006355(InterPro)
Anofun|LOC125760630	GO:0005794(PANTHER)|GO:0006888(PANTHER)|GO:0007030(PANTHER)|GO:0031267(PANTHER)
Anogam|LOC1281201	-
Anogam|LOC3291689	GO:0006688(PANTHER)|GO:0016758(PANTHER)|GO:0035248(PANTHER)
Anoste|protein16075	GO:0005759(PANTHER)|GO:0034551(PANTHER)
Anogam|LOC1271847	GO:0000785(PANTHER)|GO:0003723(PANTHER)|GO:0005654(PANTHER)|GO:0010468(PANTHER)
Anoalb|LOC118462561	-
Anoste|protein2343	GO:0000278(PANTHER)|GO:0003682(PANTHER)|GO:0006261(PANTHER)|GO:0006281(PANTHER)|GO:0043596(PANTHER)
Anogam|LOC3291695	GO:0005179(InterPro)|GO:0005576(InterPro)|GO:0005615(PANTHER)|GO:0005737(PANTHER)|GO:0007186(PANTHER)
Anoste|protein2376	GO:0000175(PANTHER)|GO:0000932(PANTHER)|GO:0006402(PANTHER)|GO:0010587(PANTHER)
Anoalb|LOC118465762	-
Anoalb|LOC118458589	GO:0006887(InterPro)|GO:0016020(InterPro)|GO:0031267(InterPro)|GO:0042391(PANTHER)|GO:0042734(PANTHER)|GO:0044325(PANTHER)|GO:0048167(PANTHER)|GO:0048788(PANTHER)|GO:0048791(PANTHER)|GO:0050806(PANTHER)
Anogam|LOC11175791	GO:0001682(PANTHER)|GO:0005730(PANTHER)|GO:0030681(PANTHER)|GO:0033204(PANTHER)
Anoalb|LOC118462987	GO:0004888(InterPro)|GO:0005216(InterPro)|GO:0016020(InterPro)|GO:0034220(InterPro)
Anogam|LOC1280343	GO:0004672(PANTHER)|GO:0004694(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0005829(PANTHER)|GO:0006468(PANTHER)|GO:0010998(PANTHER)|GO:1990625(PANTHER)
Anoste|protein13227	GO:0005750(PANTHER)|GO:0006122(PANTHER)|GO:0006122(InterPro)
Anoalb|LOC118464106	GO:0003746(PANTHER)|GO:0005739(PANTHER)|GO:0006414(PANTHER)|GO:0070125(PANTHER)
Anofun|LOC125762114	GO:0004181(PANTHER)|GO:0005615(PANTHER)|GO:0006518(PANTHER)|GO:0016485(PANTHER)
Anoste|protein9383	GO:0005813(PANTHER)|GO:1902017(PANTHER)
Anoara|LOC120905762	GO:0005737(PANTHER)|GO:0005815(PANTHER)|GO:0008017(PANTHER)|GO:0030705(PANTHER)|GO:0031122(PANTHER)|GO:0051959(PANTHER)
Anoste|protein12493	GO:0003940(PANTHER)|GO:0004553(PANTHER)
Anoalb|LOC118466903	GO:0003713(PANTHER)|GO:0008134(PANTHER)|GO:0016592(PANTHER)|GO:0045944(PANTHER)
Anoara|LOC120908736	-
Anoalb|LOC118458211	GO:0005789(PANTHER)|GO:0030544(PANTHER)|GO:0051085(PANTHER)|GO:0071218(PANTHER)
Anogam|LOC1280189	GO:0003746(InterPro)|GO:0003746(PANTHER)|GO:0006414(PANTHER)|GO:0006414(InterPro)|GO:0070125(PANTHER)
Anoalb|LOC118458026	GO:0004642(PANTHER)|GO:0005737(PANTHER)|GO:0006164(PANTHER)
Anoste|protein17836	GO:0000302(PANTHER)|GO:0005737(PANTHER)|GO:0006629(PANTHER)
Anoalb|LOC118458156	GO:0032589(PANTHER)|GO:0050808(PANTHER)
Anoalb|LOC118465238	GO:0030036(InterPro)|GO:0051015(InterPro)
Anogam|LOC1273870	GO:0005096(PANTHER)|GO:0090630(PANTHER)
Anoste|protein6817	GO:0004177(PANTHER)|GO:0004301(PANTHER)|GO:0005829(PANTHER)|GO:0043171(PANTHER)
Anoste|protein8779	GO:0001664(PANTHER)|GO:0003924(PANTHER)|GO:0003924(InterPro)|GO:0005737(PANTHER)|GO:0005834(PANTHER)|GO:0007186(InterPro)|GO:0007188(PANTHER)|GO:0007266(PANTHER)|GO:0019001(InterPro)|GO:0031526(PANTHER)|GO:0031683(InterPro)|GO:0031683(PANTHER)|GO:0031752(PANTHER)
Anogam|LOC1278667	-
Anogam|LOC1272833	GO:0005634(PANTHER)|GO:0006338(PANTHER)|GO:0016274(PANTHER)|GO:0016274(InterPro)|GO:0018216(InterPro)|GO:0019919(PANTHER)|GO:0034969(PANTHER)|GO:0035241(PANTHER)|GO:0035242(PANTHER)|GO:0042054(PANTHER)
Anogam|LOC1274977	GO:0004550(PANTHER)|GO:0004798(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0005739(PANTHER)|GO:0005829(PANTHER)|GO:0006227(PANTHER)|GO:0006233(PANTHER)|GO:0006235(PANTHER)
Anogam|LOC1280667	GO:0004857(PANTHER)|GO:0005737(PANTHER)|GO:0017020(PANTHER)|GO:0019208(PANTHER)
Anoste|protein18348	GO:0006814(PANTHER)|GO:0015293(PANTHER)
Anoalb|LOC118457441	GO:0005096(PANTHER)|GO:0031267(PANTHER)|GO:0043087(PANTHER)
Anoste|protein6696	-
Anofun|LOC125770614	GO:0003976(PANTHER)|GO:0005794(PANTHER)|GO:0016256(PANTHER)|GO:0046835(PANTHER)
Anoalb|LOC118466148	-
Anogam|LOC1276226	GO:0000149(PANTHER)|GO:0005484(PANTHER)|GO:0006886(PANTHER)|GO:0006906(PANTHER)|GO:0008021(PANTHER)|GO:0012505(PANTHER)|GO:0031201(PANTHER)|GO:0048278(PANTHER)
Anoara|LOC120906148	GO:0007155(InterPro)|GO:0045296(InterPro)
Anoalb|LOC118456937	GO:0016192(InterPro)
Anofun|LOC125769564	GO:0016020(PANTHER)|GO:1902936(PANTHER)
Anoalb|LOC118464234	GO:0005912(PANTHER)|GO:0008013(PANTHER)|GO:0016342(PANTHER)|GO:0016477(PANTHER)|GO:0051015(PANTHER)|GO:0098609(PANTHER)
Anogam|LOC3290476	GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0006468(PANTHER)|GO:0016208(PANTHER)|GO:0019887(PANTHER)|GO:0019901(PANTHER)|GO:0031588(PANTHER)|GO:0050790(PANTHER)
Anofun|LOC125765400	GO:0004016(PANTHER)|GO:0005886(PANTHER)|GO:0007189(PANTHER)
Anogam|LOC1269258	GO:0008276(PANTHER)|GO:0008757(PANTHER)|GO:0035657(PANTHER)
Anogam|LOC1271773	GO:0004622(PANTHER)|GO:0005783(PANTHER)
Anoste|protein11113	GO:0009982(PANTHER)|GO:0031119(PANTHER)
Anoste|protein3793	GO:0004000(PANTHER)|GO:0005615(PANTHER)|GO:0006154(PANTHER)|GO:0019239(InterPro)|GO:0046103(PANTHER)
Anoste|protein14582	GO:0035869(PANTHER)|GO:1905515(PANTHER)
Anoste|protein2204	-
Anoste|protein15914	GO:0005829(PANTHER)|GO:0006457(PANTHER)|GO:0007021(PANTHER)|GO:0007021(InterPro)|GO:0007023(InterPro)|GO:0015630(PANTHER)|GO:0015631(PANTHER)|GO:0048487(InterPro)
Anoalb|LOC118464839	-
Anogam|LOC1279108	-
Anoste|protein4468	GO:0008010(PANTHER)|GO:0062129(PANTHER)
Anoalb|LOC118464909	GO:0005272(InterPro)|GO:0005886(PANTHER)|GO:0006814(InterPro)|GO:0015280(PANTHER)|GO:0016020(InterPro)|GO:0035725(PANTHER)
Anoalb|LOC118468947	-
Anoste|protein3569	GO:0006820(PANTHER)|GO:0016020(PANTHER)|GO:0022857(PANTHER)
Anoste|protein9289	GO:0002151(PANTHER)|GO:0003678(PANTHER)|GO:0003723(PANTHER)|GO:0003724(PANTHER)|GO:0004386(PANTHER)|GO:0005622(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0051880(PANTHER)
Anoalb|LOC118464177	GO:0005886(PANTHER)
Anoalb|LOC118466496	GO:0005737(PANTHER)|GO:0016020(PANTHER)|GO:0043161(PANTHER)|GO:0043231(PANTHER)|GO:0061630(PANTHER)|GO:0070936(PANTHER)
Anoste|protein7129	GO:0001534(InterPro)|GO:0003341(PANTHER)|GO:0005930(PANTHER)|GO:0035082(PANTHER)|GO:0060271(InterPro)|GO:0060294(InterPro)
Anogam|LOC1270761	GO:0008080(PANTHER)
Anoste|protein6985	GO:0005769(PANTHER)|GO:0005794(PANTHER)|GO:0005886(PANTHER)|GO:0022890(PANTHER)|GO:0072546(PANTHER)
Anogam|LOC5668206	-
Anoste|protein17186	GO:0005615(PANTHER)|GO:0005737(PANTHER)|GO:0006508(PANTHER)|GO:0008270(PANTHER)|GO:0016020(PANTHER)|GO:0042277(PANTHER)|GO:0043171(PANTHER)|GO:0070006(PANTHER)
Anoalb|LOC118458377	GO:0007270(PANTHER)|GO:0007274(PANTHER)|GO:0042734(PANTHER)|GO:0070073(PANTHER)
Anogam|LOC1274029	GO:0005739(PANTHER)
Anogam|LOC1275819	GO:0005201(PANTHER)|GO:0005604(PANTHER)|GO:0007411(PANTHER)|GO:0009887(PANTHER)|GO:0009888(PANTHER)
Anoalb|LOC118460348	GO:0003682(PANTHER)|GO:0003688(PANTHER)|GO:0003697(PANTHER)|GO:0003887(PANTHER)|GO:0005658(PANTHER)|GO:0006272(PANTHER)|GO:0006273(PANTHER)|GO:1902975(PANTHER)
Anoalb|LOC118463497	GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0006414(PANTHER)
Anoalb|LOC118463635	GO:0005886(PANTHER)|GO:0005886(InterPro)|GO:0032217(PANTHER)|GO:0032217(InterPro)|GO:0032218(InterPro)|GO:0032218(PANTHER)
Anoalb|LOC118458322	GO:0005068(PANTHER)|GO:0005886(PANTHER)|GO:0007165(InterPro)|GO:0035556(PANTHER)|GO:0035591(InterPro)
Anofun|LOC125764001	-
Anoalb|LOC118461675	GO:0000976(PANTHER)|GO:0000981(PANTHER)|GO:0006357(PANTHER)
Anoste|protein8293	GO:0000785(PANTHER)|GO:0000978(InterPro)|GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0001708(PANTHER)|GO:0003700(InterPro)|GO:0005634(PANTHER)|GO:0006355(InterPro)|GO:0006357(PANTHER)|GO:0007507(PANTHER)
Anoste|protein4736	GO:0003743(PANTHER)|GO:0005085(PANTHER)|GO:0005851(PANTHER)|GO:0006413(PANTHER)
Anoara|LOC120894099	-
Anogam|LOC1271078	GO:0005737(PANTHER)|GO:0015267(PANTHER)
Anoste|protein2991	-
Anoara|LOC120898574	GO:0005634(PANTHER)|GO:0061630(InterPro)
Anogam|LOC1270677	GO:0000398(PANTHER)|GO:0003723(PANTHER)|GO:0005684(PANTHER)|GO:0070274(PANTHER)
Anoste|protein653	-
Anoste|protein17754	GO:0016491(PANTHER)|GO:0050660(InterPro)
Anoalb|LOC118458163	GO:0005789(PANTHER)|GO:0009922(PANTHER)|GO:0009922(InterPro)|GO:0016020(InterPro)|GO:0019367(PANTHER)|GO:0030148(PANTHER)|GO:0034625(PANTHER)|GO:0034626(PANTHER)|GO:0042761(PANTHER)
Anoalb|LOC118460746	-
Anogam|LOC1277192	GO:0002183(PANTHER)|GO:0003723(PANTHER)|GO:0003743(PANTHER)|GO:0071541(PANTHER)
Anogam|LOC133392767	GO:0042795(PANTHER)|GO:0042796(PANTHER)|GO:0045945(PANTHER)
Anoste|protein2029	GO:0005615(PANTHER)|GO:0016042(PANTHER)|GO:0016298(InterPro)|GO:0016298(PANTHER)|GO:0017171(PANTHER)
Anoste|protein14734	GO:0005525(InterPro)|GO:0005737(PANTHER)|GO:0043022(PANTHER)
Anoste|protein17442	-
Anofun|LOC125769457	-
Anoste|protein5169	GO:0005385(PANTHER)|GO:0005886(PANTHER)|GO:0030003(PANTHER)|GO:0071578(PANTHER)|GO:0140410(PANTHER)
Anofun|LOC125761902	GO:0003677(InterPro)|GO:0003697(PANTHER)|GO:0005524(InterPro)|GO:0005634(PANTHER)|GO:0017116(PANTHER)|GO:0042555(PANTHER)
Anofun|LOC125771412	GO:0004089(PANTHER)|GO:0004089(InterPro)|GO:0005737(PANTHER)|GO:0008270(InterPro)
Anoalb|LOC118459735	-
Anogam|LOC1277360	GO:0004674(PANTHER)|GO:0005634(PANTHER)|GO:0006468(PANTHER)|GO:0043484(PANTHER)
Anogam|LOC1274654	GO:0012505(PANTHER)
Anogam|LOC1274814	GO:0000398(PANTHER)|GO:0000932(PANTHER)|GO:0003723(PANTHER)|GO:0005688(PANTHER)|GO:0006397(InterPro)|GO:0046540(PANTHER)|GO:0071011(PANTHER)|GO:0071013(PANTHER)|GO:1990726(PANTHER)
Anoalb|LOC118458789	GO:0004653(PANTHER)|GO:0005794(PANTHER)|GO:0006493(PANTHER)
Anoalb|LOC118464979	GO:0004035(PANTHER)|GO:0016311(PANTHER)|GO:0016791(InterPro)
Anoste|protein5521	GO:0003677(PANTHER)|GO:0030182(PANTHER)
Anofun|LOC125763435	-
Anoste|protein2316	GO:0000062(PANTHER)|GO:0006631(PANTHER)
Anoalb|LOC118459208	GO:0005525(InterPro)|GO:0005739(PANTHER)|GO:0043022(PANTHER)|GO:0045727(PANTHER)|GO:0097177(PANTHER)
Anoalb|LOC118460355	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005654(PANTHER)|GO:0009952(PANTHER)|GO:0045944(PANTHER)
Anogam|LOC1277260	GO:0005773(PANTHER)|GO:0008242(InterPro)|GO:0034722(PANTHER)|GO:0046900(PANTHER)
Anoalb|LOC118462491	-
Anoalb|LOC118463619	-
Anofun|LOC125763766	GO:0062023(PANTHER)
Anoara|LOC120901230	-
Anoalb|LOC118456722	GO:0016567(InterPro)|GO:0016567(PANTHER)|GO:0080008(PANTHER)
Anoalb|LOC118460229	GO:0003723(PANTHER)|GO:0004386(PANTHER)|GO:0005622(PANTHER)|GO:0010529(PANTHER)
Anoalb|LOC118456168	GO:0001725(PANTHER)|GO:0005925(PANTHER)|GO:0098609(PANTHER)
Anoalb|LOC118456387	-
Anoalb|LOC118457382	GO:0000977(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)|GO:0048598(PANTHER)
Anofun|LOC125765396	-
Anoste|protein3227	GO:0000045(InterPro)|GO:0000407(PANTHER)|GO:0000423(PANTHER)|GO:0005829(PANTHER)|GO:0034497(PANTHER)|GO:0034727(PANTHER)|GO:1990316(PANTHER)
Anoste|protein3286	GO:0006888(PANTHER)|GO:0090158(PANTHER)
Anoste|protein1215	GO:0004568(PANTHER)|GO:0005576(PANTHER)|GO:0006032(PANTHER)|GO:0008061(PANTHER)
Anoste|protein12872	GO:0000463(PANTHER)|GO:0000492(PANTHER)|GO:0005634(PANTHER)|GO:0048254(PANTHER)|GO:0070761(PANTHER)
Anofun|LOC125769334	GO:0006400(PANTHER)|GO:0101030(PANTHER)
Anoalb|LOC118460671	GO:0004715(PANTHER)|GO:0005126(PANTHER)|GO:0005829(PANTHER)|GO:0007259(PANTHER)|GO:0019221(PANTHER)|GO:0030154(PANTHER)|GO:0035556(PANTHER)
Anoste|protein5924	GO:0000049(PANTHER)|GO:0002143(PANTHER)|GO:0002144(PANTHER)|GO:0005739(PANTHER)
Anogam|LOC1269212	-
Anoste|protein16089	GO:0003714(InterPro)|GO:0005634(PANTHER)|GO:0009966(PANTHER)|GO:0034243(PANTHER)|GO:0034243(InterPro)|GO:0035064(PANTHER)
Anoalb|LOC118469023	-
Anoste|protein12534	GO:0140662(InterPro)
Anogam|LOC1276037	GO:0005739(PANTHER)|GO:0005829(PANTHER)|GO:0019239(PANTHER)|GO:1901565(PANTHER)
Anoalb|LOC118460168	GO:0004984(PANTHER)|GO:0004984(InterPro)|GO:0005549(InterPro)|GO:0005886(PANTHER)|GO:0007608(InterPro)|GO:0016020(InterPro)|GO:0050911(PANTHER)
Anoalb|LOC118467383	GO:0000445(PANTHER)|GO:0003729(PANTHER)|GO:0006406(PANTHER)
Anoara|LOC120894999	GO:0016423(PANTHER)|GO:0030488(PANTHER)
Anofun|LOC125763299	GO:0000932(PANTHER)|GO:0005654(PANTHER)|GO:0035195(PANTHER)|GO:0060213(PANTHER)
Anoalb|LOC118460963	GO:0004312(PANTHER)|GO:0006633(PANTHER)
Anofun|LOC125771374	GO:0002161(InterPro)|GO:0005737(InterPro)|GO:0005737(PANTHER)|GO:0006399(PANTHER)|GO:0051499(InterPro)|GO:0051500(PANTHER)
