## 1.1.1
## assembly	: /home/STUDENTI/sara.mattiolo/SARA-LAB-GENOMIC/02_KmerBased_genomesurvey/03_GenomeAssembly/02_contaminants/Anoste_pol.fasta
## coverage	 bam0 - /home/STUDENTI/sara.mattiolo/SARA-LAB-GENOMIC/02_KmerBased_genomesurvey/03_GenomeAssembly/02_contaminants/Anoste_pol_sorted.bam
## taxonomy	 tax0 - /home/STUDENTI/sara.mattiolo/SARA-LAB-GENOMIC/02_KmerBased_genomesurvey/03_GenomeAssembly/02_contaminants/Anoste_blast.tsv
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6%s	phylum.s.7%s	phylum.c.8
ctg41	133462	0.4289	0	106.3583	Arthropoda	132120.0	0
ctg44	42160	0.2546	0	161.5963	no-hit	0.0	0
ctg43	98304	0.4252	0	134.4583	Arthropoda	124815.0	0
ctg42	159025	0.4444	0	132.4666	Arthropoda	64452.0	0
ctg45	264245	0.4202	0	108.3233	Arthropoda	171344.0	0
ctg46	108150	0.4879	0	238.7234	Arthropoda	65162.0	0
ctg47	146801	0.4472	0	233.7512	Arthropoda	81969.0	0
ctg48	61649	0.4372	0	127.4333	Arthropoda	44018.0	0
ctg49	128025	0.3913	0	107.7598	Arthropoda	70582.0	0
ctg50	69340	0.4769	0	129.8769	Arthropoda	29672.0	0
ctg51	58290	0.3673	0	782.7869	Arthropoda	50812.0	0
ctg52	164368	0.4473	0	217.9084	Arthropoda	145426.0	0
ctg54	56515	0.4888	0	47.6959	Arthropoda	24795.0	0
ctg53	114306	0.4086	0	109.7882	Arthropoda	112575.0	0
ctg55	96779	0.4396	0	113.3926	Arthropoda	117440.0	0
ctg56	56245	0.3711	0	70.5416	Arthropoda	42727.0	0
ctg57	60031	0.4542	0	330.2641	Arthropoda	140767.0	0
ctg58	79168	0.4124	0	24.5176	Arthropoda	86542.0	0
ctg59	76291	0.4062	0	110.314	Arthropoda	142040.0	0
ctg60	68339	0.349	0	65.5035	Arthropoda	79490.0	0
ctg61	141338	0.4624	0	245.172	Arthropoda	67105.0	0
ctg63	49457	0.3946	0	105.1702	Arthropoda	121188.0	0
ctg62	124851	0.3031	0	174.6418	Arthropoda	130063.0	0
ctg65	68844	0.4329	0	91.77	Arthropoda	84630.0	0
ctg64	59177	0.3851	0	123.8708	Arthropoda	93213.0	0
ctg66	62219	0.38	0	543.9579	Arthropoda	60642.0	0
ctg67	52495	0.4427	0	166.3148	Arthropoda	43595.0	0
ctg68	35262	0.2594	0	113.9644	no-hit	0.0	0
ctg69	74634	0.4	0	79.2353	Arthropoda	122664.0	0
ctg70	56454	0.5026	0	2933.7967	Arthropoda	195735.0	0
ctg71	61864	0.4198	0	205.0132	Arthropoda	68107.0	0
ctg73	54370	0.3772	0	137.3702	Arthropoda	77536.0	0
ctg72	62448	0.4252	0	122.2638	Arthropoda	38182.0	0
ctg74	56777	0.4649	0	853.7678	Arthropoda	478.0	0
ctg75	41535	0.4273	0	73.8065	Arthropoda	21757.0	0
ctg77	47357	0.4555	0	165.1145	Arthropoda	86441.0	0
ctg76	64320	0.4472	0	392.1014	Arthropoda	82280.0	0
ctg79	61870	0.4143	0	113.5116	Arthropoda	80359.0	0
ctg81	51234	0.4783	0	191.5005	Arthropoda	45161.0	0
ctg78	24533	0.2588	0	333.5382	no-hit	0.0	0
ctg83	53250	0.4061	0	27.6033	Arthropoda	71506.0	0
ctg85	51178	0.6021	0	13.761	Pseudomonadota	53955.0	0
ctg84	47400	0.4239	0	69.1246	Arthropoda	109515.0	0
ctg87	50634	0.6058	0	15.7219	Pseudomonadota	27411.0	0
ctg86	96748	0.4028	0	27.7178	Arthropoda	76315.0	0
ctg82	51718	0.4489	0	82.2787	Arthropoda	90537.0	0
ctg90	34921	0.2419	0	9.1354	Arthropoda	9697.0	0
ctg91	35264	0.4467	0	177.8874	Arthropoda	8451.0	0
ctg89	32099	0.2684	0	273.9133	Arthropoda	3754.0	0
ctg88	67687	0.4202	0	107.3033	Arthropoda	137252.0	0
ctg93	37196	0.2532	0	12.241	no-hit	0.0	0
ctg96	47596	0.4642	0	446.7049	Arthropoda	235.0	0
ctg97	47170	0.6013	0	15.3221	Pseudomonadota	21318.0	0
ctg99	45408	0.3759	0	378.564	Arthropoda	37077.0	0
ctg92	109813	0.3776	0	118.7428	Arthropoda	16252.0	0
ctg95	129016	0.4403	0	216.7333	Arthropoda	125422.0	0
ctg80	68999	0.3771	0	63.7393	Arthropoda	73511.0	0
ctg98	67715	0.3573	0	5.4709	Bacteroidota	630171.0	0
ctg102	46710	0.3727	0	6.3867	Bacteroidota	691795.0	0
ctg101	55329	0.4936	0	929.4495	Arthropoda	153955.0	0
ctg100	67741	0.4535	0	79.0314	Arthropoda	52446.0	0
ctg104	45622	0.4144	0	82.1098	Arthropoda	94724.0	0
ctg103	43890	0.5173	0	206.3828	Arthropoda	38128.0	0
ctg105	68057	0.4795	0	125.0616	Arthropoda	132429.0	0
ctg106	33403	0.4368	0	284.065	Arthropoda	112446.0	0
ctg107	49670	0.2819	0	273.9217	Arthropoda	28470.0	0
ctg108	25569	0.2417	0	231.4958	no-hit	0.0	0
ctg112	41864	0.3841	0	54.9207	Arthropoda	161506.0	0
ctg110	32653	0.2715	0	32.2661	Arthropoda	38577.0	0
ctg111	23567	0.3247	0	437.7194	Arthropoda	113316.0	0
ctg113	40981	0.602	0	16.1787	Pseudomonadota	55484.0	0
ctg115	55647	0.2475	0	529.7863	no-hit	0.0	0
ctg114	30487	0.2592	0	71.3621	no-hit	0.0	0
ctg116	28545	0.4335	0	263.8932	Arthropoda	44310.0	0
ctg109	45212	0.4643	0	295.294	Arthropoda	224.0	0
ctg117	89488	0.4581	0	353.8817	Arthropoda	112342.0	0
ctg94	38805	0.4216	0	167.0532	Arthropoda	91182.0	0
ctg118	26181	0.3108	0	598.3446	Arthropoda	33109.0	0
ctg119	86684	0.5978	0	18.3244	Pseudomonadota	125573.0	0
ctg120	19324	0.4522	0	192.3383	Arthropoda	230.0	0
ctg121	23189	0.4509	0	55.4626	Arthropoda	224.0	0
ctg123	41140	0.4272	0	0.7259	Arthropoda	49695.0	0
ctg125	39334	0.4234	0	184.9812	Arthropoda	75910.0	0
ctg124	15200	0.3045	0	315.1407	no-hit	0.0	0
ctg122	38372	0.3389	0	1150.3449	Arthropoda	102507.0	0
ctg127	29840	0.4745	0	385.1608	Arthropoda	235.0	0
ctg130	39712	0.5019	0	22.7523	Arthropoda	58769.0	0
ctg128	42697	0.3237	0	142.9482	Arthropoda	53447.0	0
ctg126	36167	0.2316	0	119.2957	Arthropoda	148.0	0
ctg129	25440	0.3766	0	156.2095	Arthropoda	457.0	0
ctg131	14277	0.2648	0	758.9792	no-hit	0.0	0
ctg134	35316	0.6225	0	15.1237	Pseudomonadota	45738.0	1
ctg135	48045	0.4384	0	58.7659	Arthropoda	64012.0	0
ctg132	37312	0.4195	0	102.3622	Arthropoda	92918.0	0
ctg138	25708	0.3157	0	310.6916	Arthropoda	64855.0	0
ctg137	50460	0.4526	0	489.2133	Arthropoda	19842.0	0
ctg136	97811	0.4581	0	91.7864	Arthropoda	87411.0	0
ctg139	46777	0.4258	0	103.0674	Arthropoda	49808.0	0
ctg143	54685	0.4212	0	46.9996	Arthropoda	52317.0	0
ctg141	36935	0.39	0	46.2282	Arthropoda	51835.0	0
ctg145	35383	0.3522	0	6.4132	Bacteroidota	343117.0	0
ctg133	98805	0.4426	0	202.5873	Arthropoda	210356.0	0
ctg146	44247	0.5074	0	450.0955	Arthropoda	87576.0	0
ctg147	33764	0.5924	0	18.1526	Pseudomonadota	17685.0	0
ctg144	33917	0.4196	0	97.9679	Arthropoda	96960.0	0
ctg140	12324	0.3336	0	71.492	Arthropoda	15416.0	0
ctg148	34519	0.4241	0	219.3276	Arthropoda	33850.0	0
ctg149	25579	0.4555	0	353.552	Arthropoda	230.0	0
ctg150	35126	0.6031	0	8.4592	Pseudomonadota	2235.0	0
ctg151	34427	0.4138	0	114.0877	Arthropoda	31133.0	0
ctg153	21854	0.4467	0	65.2024	Arthropoda	215.0	0
ctg155	35559	0.5945	0	14.4716	Pseudomonadota	120726.0	1
ctg142	64609	0.4806	0	905.3561	Arthropoda	19078.0	0
ctg154	20814	0.3153	0	66.3936	Arthropoda	50055.0	0
ctg160	31440	0.4237	0	61.5253	Arthropoda	63085.0	0
ctg157	20202	0.3361	0	123.0747	Arthropoda	16313.0	0
ctg159	34613	0.3868	0	34.9363	Arthropoda	60973.0	0
ctg161	45909	0.4355	0	103.1871	Arthropoda	99941.0	0
ctg162	43785	0.3947	0	108.8173	Arthropoda	73743.0	0
ctg163	17744	0.278	0	140.8402	Arthropoda	31834.0	0
ctg165	28952	0.2913	0	39.1889	Arthropoda	62655.0	0
ctg156	50974	0.4475	0	108.3799	Arthropoda	129868.0	0
ctg164	31787	0.4377	0	0.0093	Arthropoda	60729.0	0
ctg158	16760	0.4542	0	522.8564	Arthropoda	230.0	0
ctg166	42942	0.4352	0	159.4556	Arthropoda	99346.0	0
ctg168	24159	0.3285	0	145.9699	Arthropoda	29962.0	0
ctg169	32102	0.5994	0	13.8381	Pseudomonadota	44081.0	0
ctg167	20841	0.3751	0	58.0014	no-hit	0.0	0
ctg171	46856	0.4521	0	52.0194	Arthropoda	1731.0	0
ctg152	35607	0.4897	0	21.7425	Arthropoda	10456.0	0
ctg174	32166	0.5809	0	12.7489	Pseudomonadota	19920.0	0
ctg170	39273	0.3645	0	35.4886	Arthropoda	20408.0	0
ctg172	32078	0.2166	0	10306.147	Arthropoda	532087.0	0
ctg175	31118	0.6007	0	12.4324	Pseudomonadota	49326.0	0
ctg173	44694	0.464	0	257.8973	Arthropoda	9136.0	0
ctg177	19132	0.2755	0	6.1119	Arthropoda	32637.0	0
ctg178	56579	0.4295	0	90.7219	Arthropoda	105341.0	0
ctg180	31472	0.4048	0	87.1283	Arthropoda	69325.0	0
ctg176	68827	0.5013	0	387.0383	Arthropoda	59785.0	0
ctg182	24756	0.2985	0	92.2893	Arthropoda	52088.0	0
ctg181	25921	0.4335	0	457.5827	Arthropoda	30303.0	0
ctg183	25690	0.3724	0	268.1945	Arthropoda	74953.0	0
ctg179	14590	0.2752	0	0.2229	no-hit	0.0	0
ctg184	29511	0.3984	0	58.9297	Arthropoda	80962.0	0
ctg185	35218	0.3205	0	193.2646	Arthropoda	36722.0	0
ctg186	70827	0.3023	0	314.6015	Arthropoda	77628.0	0
ctg187	30216	0.3912	0	227.8852	Arthropoda	54670.0	0
ctg191	29172	0.4827	0	797.569	Arthropoda	9677.0	0
ctg190	27731	0.4686	0	220.5111	Arthropoda	4414.0	0
ctg194	21011	0.2994	0	122.4096	Arthropoda	56032.0	0
ctg195	23838	0.2616	0	580.6105	no-hit	0.0	0
ctg196	22308	0.449	0	183.7273	Arthropoda	4338.0	0
ctg189	68943	0.4511	0	49.3303	Arthropoda	68983.0	0
ctg192	39663	0.2715	0	184.5612	no-hit	0.0	0
ctg193	28360	0.4707	0	112.1653	Arthropoda	230.0	0
ctg197	23059	0.3743	0	168.967	Arthropoda	39616.0	0
ctg199	29092	0.3941	0	349.3662	Arthropoda	52286.0	0
ctg201	35205	0.4398	0	54.9707	Arthropoda	6024.0	0
ctg200	16151	0.4527	0	124.6456	Arthropoda	224.0	0
ctg198	27930	0.4617	0	0.1958	Arthropoda	105598.0	0
ctg202	16263	0.4465	0	43.4137	Arthropoda	207.0	0
ctg205	30653	0.4597	0	139.0046	Arthropoda	82494.0	0
ctg203	43260	0.3909	0	1.0252	Arthropoda	24509.0	0
ctg204	33196	0.2335	0	112.5069	Arthropoda	139.0	0
ctg210	28692	0.4522	0	0.2061	Arthropoda	62857.0	0
ctg188	23173	0.3455	0	72.738	Arthropoda	8498.0	0
ctg208	27373	0.4607	0	0.4374	Arthropoda	93157.0	0
ctg209	27316	0.4882	0	0.1299	Arthropoda	97575.0	0
ctg206	39005	0.4571	0	64.5859	Arthropoda	95879.0	0
ctg207	35628	0.4166	0	121.81	Arthropoda	79102.0	0
ctg212	13229	0.2853	0	174.37	Arthropoda	2720.0	0
ctg216	27136	0.3648	0	285.5601	Arthropoda	83157.0	0
ctg214	28412	0.4402	0	86.0643	Arthropoda	77907.0	0
ctg211	15956	0.251	0	79.2053	no-hit	0.0	0
ctg218	27106	0.3715	0	178.8948	Arthropoda	94256.0	0
ctg213	19600	0.2529	0	92.4768	no-hit	0.0	0
ctg217	47488	0.324	0	738.9419	Arthropoda	55658.0	0
ctg215	35552	0.4376	0	127.58	Arthropoda	19767.0	0
ctg219	26227	0.4	0	54.421	Arthropoda	58871.0	0
ctg224	26606	0.4092	0	37.2159	Arthropoda	91077.0	0
ctg222	63282	0.3656	0	120.0544	Arthropoda	46478.0	0
ctg220	17173	0.2757	0	27.6154	Arthropoda	18397.0	0
ctg225	26703	0.4958	0	4236.927	Arthropoda	166513.0	0
ctg226	41606	0.4545	0	130.5372	Arthropoda	1288.0	0
ctg221	21904	0.4125	0	212.7217	Arthropoda	85166.0	0
ctg223	18592	0.2481	0	139.7993	no-hit	0.0	0
ctg228	22047	0.4789	0	264.2529	Arthropoda	10761.0	0
ctg229	25225	0.6357	0	7.0443	Pseudomonadota	257628.0	0
ctg231	25903	0.629	0	5.4445	Pseudomonadota	179792.0	0
ctg227	24096	0.4895	0	340.7651	Arthropoda	41515.0	0
ctg233	18326	0.2817	0	946.9967	Arthropoda	18734.0	0
ctg234	26002	0.401	0	142.4859	Arthropoda	13082.0	0
ctg238	59384	0.4945	0	506.92	Arthropoda	58388.0	0
ctg235	19576	0.5042	0	0.151	Arthropoda	33215.0	0
ctg232	21210	0.5101	0	619.8131	Arthropoda	46337.0	0
ctg236	40941	0.4251	0	46.7997	Arthropoda	76886.0	0
ctg237	25440	0.42	0	2.4057	Arthropoda	7602.0	0
ctg230	15307	0.2783	0	268.6284	Arthropoda	7303.0	0
ctg241	24655	0.4049	0	0.006	Arthropoda	15855.0	0
ctg240	24685	0.429	0	215.9451	Arthropoda	59763.0	0
ctg244	9072	0.4599	0	341.8408	Arthropoda	215.0	0
ctg242	25713	0.3781	0	0.6267	Arthropoda	18069.0	0
ctg245	46417	0.5796	0	11.373	Pseudomonadota	8975.0	0
ctg243	20983	0.3599	0	17.2256	Arthropoda	52904.0	0
ctg239	35413	0.2798	0	129.0367	Arthropoda	8606.0	0
ctg247	24211	0.5937	0	14.8679	Pseudomonadota	32245.0	0
ctg249	17032	0.4566	0	216.3899	Arthropoda	191.0	0
ctg248	43916	0.6005	0	11.2902	Pseudomonadota	25559.0	0
ctg250	35255	0.4834	0	288.0706	Arthropoda	11095.0	0
ctg251	23730	0.6046	0	15.1132	Pseudomonadota	168043.0	0
ctg252	23512	0.6261	0	6.6458	Pseudomonadota	255605.0	0
ctg246	24779	0.4553	0	170.787	Arthropoda	37818.0	0
ctg253	20218	0.4553	0	192.5564	Arthropoda	230.0	0
ctg256	17606	0.3194	0	884.7471	Arthropoda	69643.0	0
ctg254	23519	0.3637	0	6.2793	Bacteroidota	748733.0	0
ctg258	23241	0.4882	0	91.0159	Arthropoda	134222.0	0
ctg261	23434	0.5921	0	14.5597	Pseudomonadota	23385.0	1
ctg259	16452	0.5876	0	31.1439	Arthropoda	1298.0	0
ctg257	22459	0.4246	0	0.0	Arthropoda	62826.0	0
ctg255	15711	0.2593	0	1028.6758	no-hit	0.0	0
ctg263	23615	0.5103	0	681.1202	Arthropoda	47307.0	0
ctg262	16607	0.2965	0	214.9487	Arthropoda	45848.0	0
ctg265	41168	0.2686	0	302.4003	Arthropoda	22923.0	0
ctg268	22810	0.5226	0	4.9774	Pseudomonadota	163664.0	0
ctg264	18623	0.3358	0	179.4156	Arthropoda	71441.0	0
ctg267	19737	0.3816	0	81.3039	Arthropoda	3445.0	0
ctg270	13045	0.4713	0	56.7523	Arthropoda	211.0	0
ctg269	21931	0.4416	0	25.6146	Arthropoda	51535.0	0
ctg271	59145	0.5868	0	9.0705	Pseudomonadota	106907.0	0
ctg266	21449	0.3671	0	2.4743	Arthropoda	24732.0	0
ctg272	16265	0.4548	0	148.6754	Arthropoda	1650.0	0
ctg273	22737	0.5661	0	17.0346	Pseudomonadota	19754.0	1
ctg276	20849	0.5989	0	14.2023	Pseudomonadota	26815.0	0
ctg260	18748	0.3549	0	64.4608	Arthropoda	25930.0	0
ctg275	19488	0.435	0	190.7196	Arthropoda	54321.0	0
ctg277	8941	0.4699	0	644.2456	Arthropoda	230.0	0
ctg278	9172	0.3929	0	4285.0099	Arthropoda	504.0	0
ctg280	22299	0.5	0	455.4101	Arthropoda	31600.0	0
ctg281	22044	0.6251	0	5.385	Pseudomonadota	142843.0	0
ctg283	32552	0.4596	0	147.0263	Arthropoda	51883.0	0
ctg285	21309	0.547	0	6279.4736	Arthropoda	77121.0	0
ctg274	22260	0.406	0	114.5584	Arthropoda	23557.0	0
ctg279	23501	0.2553	0	445.4277	Arthropoda	34021.0	0
ctg286	22147	0.5755	0	8.03	Pseudomonadota	93965.0	0
ctg282	11492	0.4533	0	67.316	Arthropoda	219.0	0
ctg284	22241	0.4617	0	55.7661	Arthropoda	94992.0	0
ctg288	25707	0.4371	0	170.6541	Arthropoda	48262.0	0
ctg291	21102	0.5849	0	4.0282	Pseudomonadota	855127.0	0
ctg290	21685	0.4572	0	550.397	Arthropoda	72681.0	0
ctg289	22264	0.4519	0	101.3842	Arthropoda	54745.0	0
ctg293	21165	0.4323	0	0.007	Arthropoda	61651.0	0
ctg292	22389	0.5768	0	167.3282	Uroviricota	146219.0	0
ctg296	22331	0.283	0	13.4848	no-hit	0.0	0
ctg297	46462	0.6255	0	5.1099	Pseudomonadota	274609.0	0
ctg287	7656	0.2646	0	145.1848	no-hit	0.0	0
ctg295	17260	0.3419	0	291.2065	Arthropoda	25828.0	0
ctg300	54098	0.4851	0	494.9868	Arthropoda	152270.0	0
ctg299	21047	0.257	0	325.1672	no-hit	0.0	0
ctg302	21947	0.5323	0	7.6855	Pseudomonadota	188443.0	0
ctg294	22173	0.4393	0	27.6619	Arthropoda	64216.0	0
ctg301	21034	0.4416	0	0.5131	Arthropoda	23386.0	0
ctg303	21904	0.4029	0	137.8281	Arthropoda	32523.0	0
ctg298	22039	0.4858	0	404.2035	Arthropoda	6035.0	0
ctg305	11605	0.2413	0	251.9545	no-hit	0.0	0
ctg304	17336	0.4152	0	551.7961	Arthropoda	41896.0	0
ctg306	21553	0.3729	0	1.1111	Arthropoda	40482.0	0
ctg307	20009	0.4193	0	1.5367	Arthropoda	42265.0	0
ctg312	20756	0.3507	0	5.7548	Bacteroidota	607128.0	0
ctg309	21498	0.3911	0	90.116	Arthropoda	35246.0	0
ctg311	35525	0.2942	0	113.0084	Arthropoda	28600.0	0
ctg310	12893	0.454	0	336.5018	Arthropoda	231.0	0
ctg314	20791	0.422	0	28.69	Arthropoda	56757.0	0
ctg315	34907	0.3609	0	57.5109	Arthropoda	38494.0	0
ctg316	27760	0.4707	0	591.2725	Arthropoda	231.0	0
ctg317	22206	0.5614	0	13.3544	Pseudomonadota	1245.0	0
ctg308	40554	0.2721	0	48.5148	no-hit	0.0	0
ctg319	20247	0.3526	0	5.2643	Bacteroidota	433478.0	0
ctg321	20341	0.5215	0	6.1048	Pseudomonadota	304251.0	0
ctg318	8216	0.2294	0	59.6826	no-hit	0.0	0
ctg323	20333	0.5688	0	9.8297	Pseudomonadota	60581.0	0
ctg324	20916	0.3564	0	4.7849	Bacteroidota	349401.0	0
ctg322	9793	0.4609	0	317.2166	Arthropoda	230.0	0
ctg326	19541	0.3591	0	6.68	Bacteroidota	414241.0	0
ctg313	19131	0.3988	0	0.0386	Arthropoda	17137.0	0
ctg325	20995	0.4209	0	5.1471	Arthropoda	70858.0	0
ctg327	24540	0.4718	0	246.1365	Arthropoda	224.0	0
ctg330	19832	0.4162	0	31.8291	Arthropoda	11781.0	0
ctg331	19725	0.594	0	11.5041	Pseudomonadota	23667.0	0
ctg332	20158	0.518	0	5.5148	Pseudomonadota	64112.0	0
ctg328	11409	0.2891	0	2252.1771	Arthropoda	7635.0	0
ctg333	34053	0.5405	0	1165.3195	Arthropoda	126879.0	0
ctg335	19802	0.5268	0	6.2262	Pseudomonadota	152740.0	0
ctg334	28860	0.3986	0	0.6915	Arthropoda	25675.0	0
ctg320	13565	0.3251	0	2.1469	Arthropoda	28265.0	0
ctg339	19331	0.3351	0	6.202	Bacteroidota	40930.0	0
ctg336	9239	0.377	0	0.48	no-hit	0.0	0
ctg341	19452	0.4207	0	4.1495	Arthropoda	77806.0	0
ctg342	18632	0.6405	0	5.3635	Pseudomonadota	177888.0	0
ctg340	19693	0.4057	0	5.7427	Arthropoda	30670.0	0
ctg329	11602	0.3235	0	0.1911	no-hit	0.0	0
ctg344	18740	0.4791	0	10.5232	Arthropoda	50095.0	0
ctg338	8423	0.2582	0	400.1224	no-hit	0.0	0
ctg337	32112	0.2755	0	208.2521	Arthropoda	6139.0	0
ctg345	20476	0.4404	0	9.5083	Arthropoda	32472.0	0
ctg349	18632	0.4874	0	0.3332	Arthropoda	23546.0	0
ctg350	15483	0.4673	0	471.5898	Arthropoda	230.0	0
ctg348	9051	0.4565	0	161.2068	Arthropoda	215.0	0
ctg343	6956	0.4263	0	671.101	Arthropoda	338.0	0
ctg347	14916	0.4436	0	17.9684	Arthropoda	5857.0	0
ctg352	18703	0.2549	0	538.6634	no-hit	0.0	0
ctg351	15507	0.4315	0	0.0095	no-hit	0.0	0
ctg355	12964	0.3669	0	99.5151	Arthropoda	78978.0	0
ctg353	14098	0.4294	0	5449.0041	Arthropoda	64132.0	0
ctg354	18466	0.4243	0	0.056	Arthropoda	43562.0	0
ctg356	13964	0.2849	0	1.3339	Arthropoda	4247.0	0
ctg358	18873	0.4568	0	45.0313	Arthropoda	105531.0	0
ctg359	18340	0.6053	0	14.251	Pseudomonadota	540.0	0
ctg360	10371	0.38	0	3.364	no-hit	0.0	0
ctg363	13701	0.4346	0	97.0428	Arthropoda	191.0	0
ctg365	18018	0.4994	0	775.4476	Arthropoda	27040.0	0
ctg367	18332	0.3308	0	80.7453	Arthropoda	243.0	0
ctg366	18018	0.4754	0	83.6867	Arthropoda	26515.0	0
ctg364	18175	0.2725	0	44.2392	no-hit	0.0	0
ctg357	20504	0.4125	0	102.3217	Arthropoda	74284.0	0
ctg368	17611	0.4289	0	218.0055	Arthropoda	46062.0	0
ctg361	9223	0.2728	0	592.8271	no-hit	0.0	0
ctg371	32668	0.3814	0	3.7107	Bacteroidota	484383.0	0
ctg372	18195	0.6058	0	11.5047	Pseudomonadota	15034.0	0
ctg373	17806	0.4171	0	11.9885	Arthropoda	84025.0	0
ctg374	15672	0.4501	0	11.2627	Arthropoda	213.0	0
ctg375	13191	0.4984	0	594.1782	Arthropoda	12517.0	0
ctg377	35871	0.4358	0	0.1278	Arthropoda	39972.0	0
ctg369	6870	0.2687	0	550.3497	no-hit	0.0	0
ctg378	10563	0.463	0	1001.2225	Arthropoda	235.0	0
ctg370	50131	0.454	0	215.6867	Arthropoda	5930.0	0
ctg381	11807	0.257	0	472.3502	no-hit	0.0	0
ctg384	16561	0.6076	0	15.282	Pseudomonadota	17286.0	0
ctg382	10296	0.4027	0	0.0144	Arthropoda	13323.0	0
ctg379	32743	0.4179	0	204.2297	Arthropoda	99447.0	0
ctg362	33707	0.4207	0	212.8092	Arthropoda	65895.0	0
ctg380	12206	0.4399	0	291.4455	Arthropoda	42360.0	0
ctg385	15800	0.5787	0	2.0678	no-hit	0.0	0
ctg386	17208	0.5329	0	5143.8741	Arthropoda	35543.0	0
ctg389	19501	0.4545	0	53.2768	Arthropoda	52930.0	0
ctg390	17089	0.5971	0	13.2873	Pseudomonadota	32299.0	0
ctg388	31173	0.2687	0	206.9944	Arthropoda	6510.0	0
ctg383	26414	0.457	0	361.9974	Arthropoda	66461.0	0
ctg387	7896	0.2628	0	797.6198	no-hit	0.0	0
ctg391	5553	0.3526	0	92.4304	Arthropoda	272.0	0
ctg392	14693	0.3067	0	608.8069	Arthropoda	7661.0	0
ctg396	17034	0.3454	0	5.9622	Bacteroidota	473638.0	0
ctg394	16538	0.472	0	35.6837	Arthropoda	4483.0	0
